newsHeadline,sentiment,preprocessed_txt
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,according gran company plan move production russia although company growing
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,technopolis plan develop stage area less 100000 square meter order host company working computer technology telecommunication statement said
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",negative,international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contracted rank office worker daily postimees reported
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,new production plant company increase capacity meet expected increase demand improve use raw material therefore increase production profitability
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,according company increasedated strategy year 20092012 basware target longterm net sale growth range 20 percent 40 percent operating profit margin 10 percent 20 percent net sale
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,last quarter 2010 componenta net sale doubled eur131m eur76m period earlier moved zero pretax profit pretax loss eur7m
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,third quarter 2010 net sale increased 52 percent eur 2055 mn operating profit 349 percent eur 235 mn
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operating profit rose eur 131 mn eur 87 mn corresponding period 2007 representing 77 percent net sale
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,operating profit totalled eur 211 mn increase eur 186 mn 2007 representing 97 percent net sale
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,teliasonera tlsn said offer line strategy increase ownership core business holding strengthen eesti telekom offering customer
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry groincreases
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,purchase agreement 7200 ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u dollar per month
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum report operating profit increased eur 205 mn 2005 eur 93 mn 2004 net sale totaled eur 1033 mn increase eur 964 mn
"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,clothing retail chain seppælæ sale increased 8 percent eur 1552 mn operating profit rose eur 311 mn eur 171 mn 2004
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,consolidated net sale increased 16 percent reach eur74 8 operating profit amounted eur0 9 compared loss eur0 7 prior period
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,foundry division report sale increased 97 percent eur 631 mn eur 575 mn corresponding period 2006 sale machine shop division increased 164 percent eur 412 mn eur 354 mn corresponding period 2006
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,helsinki afx share closed higher led nokia announced plan team increase sanyo manufacture 3g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue 20072008
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,board director propose dividend eur0 12 per share 2010 increase eur0 08 per share paid 2009
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,lifetree founded 2000 revenue risen average 40 percent margin late 30
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",positive,filippova trilateral agreement investment construction technology park st petersburg signed course forum day russian economy opened helsinki
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,megafon subscriber base increased 161 percent 2009 505 million user december 31 market share number customer amounted 24 percent late 2009 increase 23 percent late 2008 according teliasonera estimate
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,net income life insurance doubled eur 68 mn eur 32 mn net income nonlife insurance rose eur 52 mn eur 15 mn corresponding period 2009
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,net sale increased eur193 3 eur179 9 pretax profit rose 342 percent eur43 1 eur1 usd1 4
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,net sale increased 185 percent eur167 8 teleste said eur20 4 122 percent sale came acquisition made 2009
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,nordea groincrease operating profit increased 2010 18 percent yearonyear 364 billion euro total revenue 3 percent 933 billion euro
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,operating profit ninemonth period increased eur13 6 net sale increased eur394 7 compared corresponding period 2005
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,operating profit ninemonth period increased eur3 1 net sale increased eur61 5 compared corresponding period 2007
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,operating profit threemonth period increased eur1 2 revenue increased eur20 2 compared corresponding period 2005
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",positive,brazilian unit finnish security solution provider fsecure signed increase 1500 new client last online news source reseller web quoted division commercial director vladimir brand_o saying
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,company net profit rose 114 percent 822 million euro 2005 sale 6865 million euro 138 percent increase company said earlier
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,lithuanian beer market made increase 1441 million liter january rise 08 percent yearearlier figure lithuanian brewer association reporting citing result member
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,viking line cargo revenue increased 54 percent eur 2146 mn cargo volume increased 24 percent 70116 cargo unit
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,fair value property portfolio doubled result kapiteeli acquisition totalled eur 26862 12597 million
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,10 february 2011 finnish medium company sanoma oyj hel saa1v said yesterday 2010 net profit almost tripled eur297 3 eur107 1 2009 announced proposal raised payout
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,helsinki eliiv reported earnings per share eur1 13 2009 increase earnings per share eur1 12 2008
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,aspo plc stock exchange release february 11 2011 at8 45 esl shipping ltd part aspo groincrease signed new longterm contract rautaruukki corporation marine transport raw material baltic sea
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,commission income increased 22 percent eur 44 mn lending volume rose 135 percent
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,january traffic measured revenue passenger kilometre rpk went increase 32 percent capacity measured available seat kilometre ask rose 122 percent
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,januaryseptember 2010 fiskars net profit went increase 14 percent yearonyear eur 654 million net sale eur 5253 million eur 4877 million
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,net income life insurance rose eur 165 mn eur 140 mn net income nonlife insurance eur 226 mn eur 152 mn 2009
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,nyrstar agreed sincreaseply talvivaara increase 150000 tonne sulphuric acid per annum use talvivaara leaching process period sincreaseply zinc concentrate
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",positive,sale department store division hobby hall increased 7 percent sale clothing store subsidiary seppala decreased 4 percent
Sales have risen in other export markets .,positive,sale risen export market
Sales increased due to growing market rates and increased operations .,positive,sale increased due growing market rate increased operation
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,agreement strengthens longterm partnership nokia siemens network
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive,agreement signed biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develops manufacture market liquid handling product diagnostic test system
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,company estimate already carried investment lead increase net sale 2010 2009 reached eur 1417 million
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,company order book stood 15 bln euro dollar 22 bln september 30 2007 increase 242 pct international order amounting 365 mln euro dollar 5343 mln
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,company said paper demand increased main market including publication paper increased average paper price 4 percent compared last
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,world second largest stainless steel maker said net profit threemonth period dec 31 increased euro603 million usdollars 781 million euro3 33 usdollars 431 per share euro172 million euro0 94 per share previous
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",positive,within framework partnership nokia siemens network signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic component russia
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,seppala revenue increased 02 percent eur10 1 finland revenue went decrease 24 percent eur6 8 sale abroad rose 62 percent eur3 3 sale increased baltic country well russia ukraine
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,share standard chartered stan rose 12 percent ftse 100 royal bank scotland rb share rose 2 percent barclays share barc bcs increase 17 percent
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,share nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,financial report published friday seb said net profit increaseed sek6 745 bn 2010 yearearlier sek1 114 bn proposed 50 percent dividend increase sek1 50 per share
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,sale department store division increased 15 percent sale clothing store subsidiary seppala increased 8 percent meanwhile sale hobby hall decreased 12 percent
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,request finnish medium company alma medium newspaper research manager jari kaivooja finland future research centre turku school economics drawn increase future scenario finland national economy using model developed university denver
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,sweden gallerix accumulated sek denominated sale decrease 1 percent eur denominated sale increase 11 percent
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,neutral,company sincreaseports global customer developing new technology offer fast route product development application volume production
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,investment place atrium plan expand moscow market
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",neutral,new agreement continuation theagreement signed earlier lemminkainen groincrease whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",positive,first contract envisaged construction three ferryboat option two unit confirmed total value 500 mln euro dollar 6458 mln
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral,june sold 30 percent stake nordstjernan investment groincrease taken increase option acquire eqt remaining share
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,kesko corporation stock exchange release 28022008 0930 1 1 kesko corporation aspo plc signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,positive,sponda plc stock exchange release 5 december 2006 1545 eur 15 billion syndicated credit facility sponda sponda signed agreement oneyear syndicated credit facility total eur 15 billion
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,stock exchange announcement 20 july 2006 1 1 basware share subscription warrant increase share capital total 119 850 share subscribed basware warrant program
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",positive,contract cover hdo platform ac800 cxe880 optical fttb node designed increase forward return path capacity transmission network
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,new plant planned electricity generation capacity increase 350 megawatt mw heat generation capacity
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,omx helsinki 25 index increase 092 pct 251867 helsinki cap portfolio index 091 pct higher 471119
"- So , the sales growth of cars considerably influence on the tires market '' .",neutral,sale growth car considerably influence tire market
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,maximum 666104 new share subscribed exercising b option 2004 stock option plan
"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",neutral,result share issue number company share increase 391630 share share capital total eur 1566520
"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",neutral,finnish real estate investor sponda plc said wednesday 12 march signed agreement danske bank helsinki branch 7year eur150m credit facility ilmarinen mutual pension insurance company 7year eur50m credit facility
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",neutral,route helsinki finland tallinn estonia cargo volume increased 36 percent cargo volume finland sweden fell 9 percent
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",neutral,measure included increasing synergy economy scale within grimaldi groincrease personnel adjustment divestments redelivery excess tonnage
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,rinkuskiai raised sale 181 percent 137 million liter sale kauno alus grew 143 percent 960000 liter
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,neutral,telecomworldwire7 april 2006tj groincrease plc sell stake morning digital design oy finnish company tj groincrease plc said friday 7 april signed agreement selling share morning digital design oy edita oyj
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,positive,telecomworldwire7 april 2006tj groincrease plc sell stake morning digital design oy finnish company tj groincrease plc said friday 7 april signed agreement selling share morning digital design oy edita oyj
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",neutral,718430 new series share become subject trading helsinki stock exchange main list together old series share july 3 2006
